winner,player_0_timeplayer_1_time,player_0_nodes_evaluated,player_1_nodes_evaluated
1,0.1396169662475586,0.009814977645874023,3060.0,215.0
0,0.18288183212280273,0.009287834167480469,4587.0,225.0
1,0.17828893661499023,0.009975194931030273,4218.0,239.0
0,0.11533212661743164,0.00791025161743164,2676.0,189.0
1,0.10478901863098145,0.010386228561401367,2561.0,254.0
0,0.02719593048095703,0.0037031173706054688,904.0,112.0
0,0.1418747901916504,0.006755828857421875,3350.0,150.0
0,0.10102176666259766,0.0030121803283691406,3127.0,92.0
0,0.24091506004333496,0.014283895492553711,5251.0,318.0
0,0.043061017990112305,0.005934000015258789,1039.0,144.0
0,0.20095515251159668,0.006429910659790039,5007.0,169.0
0,0.08357596397399902,0.006321907043457031,2166.0,165.0
0,0.12685632705688477,0.007709980010986328,2854.0,175.0
0,0.05774402618408203,0.003548860549926758,1901.0,114.0
0,0.042449951171875,0.0053560733795166016,1087.0,140.0
1,0.07140302658081055,0.00870203971862793,1681.0,211.0
0,0.13630175590515137,0.009549856185913086,3622.0,260.0
0,0.029950857162475586,0.003140687942504883,985.0,103.0
0,0.039994001388549805,0.004325151443481445,1147.0,116.0
1,0.07333111763000488,0.008038043975830078,1781.0,203.0
0,0.09891676902770996,0.00966501235961914,2241.0,238.0
0,0.2106781005859375,0.012458086013793945,4282.0,261.0
0,0.05364727973937988,0.004824161529541016,1333.0,120.0
0,0.11472105979919434,0.007234811782836914,2901.0,180.0
0,0.09821295738220215,0.004109859466552734,3033.0,126.0
0,0.058866024017333984,0.006470203399658203,1658.0,165.0
0,0.10347485542297363,0.005474090576171875,2679.0,144.0
0,0.08434796333312988,0.005774736404418945,2262.0,160.0
0,0.18291211128234863,0.008299827575683594,4165.0,192.0
0,0.02785205841064453,0.004141092300415039,862.0,116.0
0,0.03371596336364746,0.003507852554321289,1064.0,112.0
1,0.04982471466064453,0.008161067962646484,1184.0,199.0
0,0.23692798614501953,0.008105993270874023,4183.0,157.0
0,0.03424382209777832,0.0025310516357421875,1151.0,84.0
0,0.07307314872741699,0.006459236145019531,1661.0,180.0
0,0.10103273391723633,0.009304046630859375,2381.0,210.0
0,0.029161930084228516,0.005012035369873047,830.0,132.0
0,0.15535712242126465,0.00999593734741211,3689.0,250.0
0,0.11763787269592285,0.006118059158325195,3041.0,162.0
0,0.08853912353515625,0.010202884674072266,2188.0,260.0
0,0.1896069049835205,0.011713027954101562,3809.0,248.0
0,0.11630487442016602,0.007959127426147461,2826.0,183.0
0,0.12990331649780273,0.010697126388549805,2975.0,223.0
0,0.028800010681152344,0.0010638236999511719,908.0,36.0
0,0.11914277076721191,0.00733494758605957,2611.0,150.0
0,0.0056760311126708984,0.002446889877319336,205.0,96.0
1,0.08664202690124512,0.008054018020629883,2143.0,193.0
0,0.18039679527282715,0.007524967193603516,3666.0,171.0
0,0.06747603416442871,0.006372690200805664,1561.0,154.0
0,0.15169095993041992,0.012723922729492188,3159.0,267.0
0,0.08925104141235352,0.0059871673583984375,2217.0,150.0
0,0.02510690689086914,0.003223896026611328,832.0,110.0
0,0.1040959358215332,0.005374908447265625,2462.0,131.0
0,0.03602099418640137,0.0022668838500976562,899.0,56.0
0,0.17033100128173828,0.008707761764526367,3752.0,173.0
0,0.1013178825378418,0.006185054779052734,2137.0,135.0
0,0.02196502685546875,0.004049062728881836,583.0,110.0
0,0.05519914627075195,0.004086017608642578,1575.0,120.0
0,0.02031683921813965,0.0013339519500732422,672.0,42.0
0,0.09635400772094727,0.0070650577545166016,2293.0,171.0
0,0.17976760864257812,0.01306915283203125,4077.0,280.0
0,0.2408299446105957,0.011393070220947266,4643.0,228.0
0,0.05190920829772949,0.004639863967895508,1583.0,150.0
0,0.18804192543029785,0.01375579833984375,3838.0,300.0
0,0.0736382007598877,0.00400996208190918,1746.0,96.0
1,0.04487204551696777,0.005529165267944336,1067.0,138.0
0,0.2014150619506836,0.014487743377685547,4764.0,341.0
0,0.004799842834472656,0.00032901763916015625,216.0,14.0
0,0.11342120170593262,0.005821943283081055,2490.0,133.0
0,0.026013851165771484,0.003003835678100586,810.0,95.0
0,0.1048130989074707,0.006521940231323242,2603.0,168.0
0,0.03739190101623535,0.003549814224243164,1047.0,98.0
0,0.18125104904174805,0.01323390007019043,3643.0,266.0
0,0.044255971908569336,0.003056049346923828,1242.0,88.0
0,0.12536001205444336,0.0110626220703125,2612.0,252.0
1,0.23898911476135254,0.014328241348266602,5202.0,324.0
0,0.14802193641662598,0.011471033096313477,3388.0,255.0
0,0.0792548656463623,0.005681753158569336,2114.0,157.0
1,0.08048510551452637,0.009248971939086914,1789.0,212.0
0,0.1890268325805664,0.008520126342773438,3963.0,194.0
0,0.18288183212280273,0.0048258304595947266,3638.0,99.0
0,0.0036077499389648438,0.0010192394256591797,145.0,42.0
0,0.027863025665283203,0.003248929977416992,892.0,100.0
0,0.06988000869750977,0.012623071670532227,1750.0,320.0
0,0.10320091247558594,0.007169961929321289,2373.0,171.0
0,0.010972738265991211,0.0018723011016845703,432.0,72.0
0,0.2419419288635254,0.013374090194702148,4538.0,266.0
1,0.059249162673950195,0.0070841312408447266,1262.0,155.0
0,0.35996580123901367,0.01793694496154785,7635.0,370.0
0,0.1777479648590088,0.009768009185791016,4073.0,237.0
0,0.00924992561340332,0.001466989517211914,336.0,49.0
0,0.0178070068359375,0.005339860916137695,497.0,143.0
0,0.14023780822753906,0.010071039199829102,3215.0,233.0
0,0.08686399459838867,0.00746607780456543,2000.0,165.0
0,0.2207329273223877,0.014247894287109375,4352.0,280.0
0,0.0509791374206543,0.004010915756225586,1254.0,104.0
0,0.09474992752075195,0.004915952682495117,2428.0,133.0
0,0.10940980911254883,0.0077056884765625,2601.0,177.0
0,0.27579498291015625,0.015089035034179688,5081.0,292.0
0,0.07098102569580078,0.005325794219970703,1878.0,133.0
